Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Implement password reset via email with one-time link,SCRUM-27,10029,Task,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:08 PM,19/Aug/25 8:10 AM,09/Aug/25 3:20 PM,,,0,"Implement password reset functionality: when a user requests a password reset, generate a unique one‑time token and email it to the user with a reset link. Ensure the token and link expire after a configurable period (e.g., 1 hour). Validate the token when the user clicks the link, allow them to set a new password, and enforce password complexity requirements. Include unit tests for token generation, expiration logic, and reset validation.Implement password reset functionality: when a user requests a password reset, generate a unique one‑time token and email it to the user with a reset link. Ensure the token and link expire after a configurable period (e.g., 1 hour). Validate the token when the user clicks the link, allow them to set a new password, and enforce password complexity requirements. Include unit tests for token generation, expiration logic, and reset validation.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004x:,SCRUM Sprint 3,,2.0,,,10007,SCRUM-5,"Security, Reporting & Enablers",To Do,27/Jul/25 3:08 PM
Implement role management and access control,SCRUM-26,10028,Task,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:07 PM,19/Aug/25 8:10 AM,09/Aug/25 3:19 PM,,,0,"Develop a role management module that defines roles such as Admin, Manager, and Barista; provide functionality to assign roles to user accounts; enforce role-based access control in both UI and API endpoints; include unit tests to verify role assignment and permission checks.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004w:r,SCRUM Sprint 3,,2.0,,,10007,SCRUM-5,"Security, Reporting & Enablers",To Do,27/Jul/25 3:07 PM
Implement daily sales report email,SCRUM-25,10027,Task,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:07 PM,19/Aug/25 8:10 AM,09/Aug/25 3:28 PM,,,0,"Develop an automated process to generate a daily sales summary, including total sales revenue, number of transactions, top-selling items, and any refunds or voids. At the end of each business day, compile this information into a neatly formatted email and automatically send it to the manager or designated stakeholders. Ensure proper scheduling (e.g., email at midnight) and provide configuration options for recipients. Include unit and integration tests to verify that the report data is accurate and that the email is sent successfully.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00053:,SCRUM Sprint 4,,1.0,,,10007,SCRUM-5,"Security, Reporting & Enablers",To Do,27/Jul/25 3:07 PM
Implement stock export to CSV,SCRUM-24,10026,Task,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:06 PM,19/Aug/25 8:10 AM,09/Aug/25 3:18 PM,,,0,"Provide an administrative option to export current stock to CSV with fields: Item ID, Name, Quantity, Price, and Last Updated; include tests to verify file generation and data accuracy.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004w:i,SCRUM Sprint 3,,1.0,,,10006,SCRUM-4,Receipt Printing & Inventory,To Do,27/Jul/25 3:06 PM
Implement inventory management and low-stock alerts,SCRUM-23,10025,Task,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:06 PM,19/Aug/25 8:10 AM,09/Aug/25 3:12 PM,,,0,Maintain accurate inventory counts in the database; decrease quantity on each sale and increase on each restock; implement low-stock alert when quantity drops below a configured threshold in the user interface; include unit tests for inventory update logic and alert triggers.,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004w:,SCRUM Sprint 3,,2.0,,,10006,SCRUM-4,Receipt Printing & Inventory,To Do,27/Jul/25 3:06 PM
Perform printing spike to verify printer compatibility,SCRUM-22,10024,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:04 PM,19/Aug/25 8:10 AM,09/Aug/25 3:10 PM,,,0,"Set up a test environment to print a 'Hello, Café' slip to the receipt printer.
Ensure printing works within the Docker container.
Document driver installation steps and compatibility issues.
Evaluate print speed and reliability.
Summarize findings to guide full integration.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004v:,SCRUM Sprint 3,,1.0,,,10006,SCRUM-4,Receipt Printing & Inventory,To Do,27/Jul/25 3:04 PM
Implement receipt printing and preview modal,SCRUM-21,10023,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:03 PM,19/Aug/25 8:10 AM,09/Aug/25 3:10 PM,,,0,"Integrate python-escpos with Tornado to send print jobs to the receipt printer.
Design a receipt template with logo, items, prices, totals and tax.
Create a preview modal in React that shows the receipt and auto-closes on successful print.
Handle printer errors with retry logic and provide user feedback.
Write integration tests for printing and preview functionality.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004n:,SCRUM Sprint 3,,2.0,,,10006,SCRUM-4,Receipt Printing & Inventory,To Do,27/Jul/25 3:03 PM
Implement discount application,SCRUM-20,10022,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:02 PM,19/Aug/25 8:10 AM,27/Jul/25 8:45 PM,,,0,"Add ability to apply fixed-amount or percentage discounts before tax.
Provide UI to input discount value and reason; show discount line item on receipt.
Validate discount does not exceed the subtotal.
Log discount details with staff ID and reason.
Write tests for discount calculations and UI.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0004f:,SCRUM Sprint 2,,1.0,,,10005,SCRUM-3,Menu & Pricing / Sales Workflow,To Do,27/Jul/25 3:02 PM
Implement receipt reprint functionality,SCRUM-19,10021,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:01 PM,19/Aug/25 8:10 AM,27/Jul/25 4:58 PM,,,0,"Provide a 'Reprint receipt' button on order history.
Button visible only for orders placed within the last 5 minutes.
Trigger same printer format as original receipt.
Log reprint event for audit.
Write integration tests covering reprint scenario.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00047:,SCRUM Sprint 2,,1.0,,,10005,SCRUM-3,Menu & Pricing / Sales Workflow,To Do,27/Jul/25 3:01 PM
Implement order entry workflow with cart and payment,SCRUM-18,10020,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 3:00 PM,19/Aug/25 8:10 AM,19/Aug/25 8:17 AM,,,0,"Design front-end cart to add drinks and sizes.
Calculate subtotal and tax, update totals.
Allow removal of items and resetting cart.
Persist order with status ""PAID"" on pay.
Disable Pay button when cart is empty.
Write end-to-end tests covering add to cart through payment.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0003z:,SCRUM Sprint 2,,2.0,,,10005,SCRUM-3,Menu & Pricing / Sales Workflow,To Do,27/Jul/25 3:00 PM
Implement menu bulk import from CSV file,SCRUM-17,10019,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:57 PM,19/Aug/25 8:10 AM,27/Jul/25 4:58 PM,,,0,"• Accept CSV upload with columns for drink name, size and price.
• Validate file structure and display toast notifications for errors.
• Insert new menu items into the database and skip duplicates.
• Provide success message summarising imported items.
• Write tests for CSV parsing and UI flow.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0003r:,SCRUM Sprint 2,,1.0,,,10005,SCRUM-3,Menu & Pricing / Sales Workflow,To Do,27/Jul/25 2:57 PM
Implement menu search with fuzzy matching,SCRUM-16,10018,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:54 PM,19/Aug/25 8:09 AM,09/Aug/25 3:50 PM,,,0,"Testing typing ability.

• Implement search endpoint with fuzzy matching for drink names.
• Add search bar to React UI with debounced input to reduce network calls.
• Ensure search results return within 200 ms for up to 500 menu items.
• Write unit and integration tests for search functionality.",,,,,,,,,,,,,,0|i00020:v,SCRUM Sprint 1,,2.0,,,10005,SCRUM-3,Menu & Pricing / Sales Workflow,To Do,27/Jul/25 2:54 PM
"Implement menu management (CRUD for drinks, sizes & prices)",SCRUM-15,10017,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:52 PM,19/Aug/25 8:09 AM,09/Aug/25 3:09 PM,,,0,"* Design database schema for drinks, sizes and prices.
* Create asynchronous CRUD API endpoints in Tornado.
* Build React forms to create, edit and delete menu items with validation.
* Ensure price > 0 and name \u2264 50 characters.
* Write integration tests for API and UI.",,,,,,,,,,,,,,0|i00020:r,SCRUM Sprint 1,,1.0,,,10005,SCRUM-3,Menu & Pricing / Sales Workflow,To Do,27/Jul/25 2:52 PM
Seed staging database with demo menu data,SCRUM-14,10016,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:50 PM,19/Aug/25 8:09 AM,28/Jul/25 6:58 AM,,,0,"* Insert at least 20 sample menu items (e.g., Latte, Cappuccino).
* Include sizes and prices with correct currency.
* Write a seeding script executed via Docker Compose.
* Document how to run the seeding script.",,,,,,,,,,,,,,0|i00020:i,SCRUM Sprint 1,,1.0,,,10004,SCRUM-2,Project Setup & DevOps,To Do,27/Jul/25 2:50 PM
Set up local development environment with Docker Compose,SCRUM-13,10015,Story,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:49 PM,19/Aug/25 8:09 AM,14/Aug/25 5:53 PM,,,0,"* Write docker-compose.yml for Tornado, Postgres and React services.
* Build base Docker images and push to registry.
* Create health check endpoints for Tornado and React.
* Test local environment start-up from clean clone and update documentation.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00020:,SCRUM Sprint 1,,1.0,,,10004,SCRUM-2,Project Setup & DevOps,To Do,27/Jul/25 2:49 PM
Document the CI/CD setup and development workflow in the README,SCRUM-12,10014,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:47 PM,04/Aug/25 11:29 AM,04/Aug/25 11:29 AM,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00021:,SCRUM Sprint 1,,,,,10009,SCRUM-7,Set up Git repository & CI/CD pipeline,To Do,27/Jul/25 2:47 PM
Write minimal pytest suite and sample React test to ensure CI runs,SCRUM-11,10013,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:47 PM,27/Jul/25 2:47 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00023:,SCRUM Sprint 1,,,,,10009,SCRUM-7,Set up Git repository & CI/CD pipeline,To Do,27/Jul/25 2:47 PM
Configure branch protection rules to require passing CI before merging,SCRUM-10,10012,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:34 PM,27/Jul/25 2:34 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0002n:,SCRUM Sprint 1,,,,,10009,SCRUM-7,Set up Git repository & CI/CD pipeline,To Do,27/Jul/25 2:34 PM
Set up GitHub Actions workflow to install dependencies and run tests on push/pull request,SCRUM-9,10011,Subtask,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:34 PM,27/Jul/25 2:34 PM,,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0002f:,SCRUM Sprint 1,,,,,10009,SCRUM-7,Set up Git repository & CI/CD pipeline,To Do,27/Jul/25 2:34 PM
Initialize GitHub repository & connect to Jira,SCRUM-8,10010,Subtask,In Progress,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:33 PM,27/Jul/25 9:00 PM,28/Jul/25 7:00 AM,,,0,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i00027:,SCRUM Sprint 1,,,,,10009,SCRUM-7,Set up Git repository & CI/CD pipeline,In Progress,27/Jul/25 9:00 PM
Set up Git repository & CI/CD pipeline,SCRUM-7,10009,Story,In Progress,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:31 PM,19/Aug/25 8:09 AM,09/Aug/25 3:51 PM,,,0,"* Create GitHub repository and connect to Jira for issue linking.
* Write minimal pytest suite and sample React test to ensure CI runs.
* Set up GitHub Actions workflow to install dependencies and run tests on push/pull request.
* Configure branch protection rules to require passing CI before merging.
* Document the CI/CD setup and development workflow in the README.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,,0|i0001z:,SCRUM Sprint 1,,1.0,,,10004,SCRUM-2,Project Setup & DevOps,In Progress,27/Jul/25 9:00 PM
Backlog / Future Enhancements,SCRUM-6,10008,Epic,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:22 PM,27/Jul/25 2:22 PM,,,,0,"This epic contains future enhancements and ideas that are not prioritised for the MVP but captured for later.

* Loyalty points system awarding one point per pound spent and allowing redemption at 100 points.
* Offline-first Progressive Web App to support pop-up stalls with network latency.
* QR-table ordering module with real-time push updates to the barista screen.

These items are currently not in scope but will be tracked for potential future releases.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,purple,0|i0001r:,,,,,,,,,To Do,27/Jul/25 2:22 PM
"Security, Reporting & Enablers",SCRUM-5,10007,Epic,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:20 PM,27/Jul/25 2:20 PM,,,,0,"This epic covers security features, reporting, and supporting enablers.

* Implement staff authentication via PIN login with lockout after multiple failed attempts; store hashed passwords for other roles.
* Provide password reset workflow via secure email links.
* Create role management with roles for Barista, Manager, and Admin; enforce via middleware and hide unauthorized UI elements.
* Generate daily sales reports and deliver them via email to owners at 07:00.
* Develop a sales dashboard with line and pie charts and date filters, ensuring charts load within 2 seconds.
* Maintain high test coverage (>=80%) across backend and frontend; integrate coverage checks into the CI pipeline.
* Set up velocity reporting using Jira and define the team's definition of done.

This epic ensures the system is secure, auditable, and provides actionable insights to cafe managers.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,purple,0|i0001j:,,,,,,,,,To Do,27/Jul/25 2:20 PM
Receipt Printing & Inventory,SCRUM-4,10006,Epic,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:18 PM,27/Jul/25 2:18 PM,,,,0,"This epic covers printing receipts, inventory management, and associated hardware integration.

* Integrate python-escpos to print branded receipts and open the cash drawer, with error handling and retries.
* Provide a receipt preview modal in the web UI that automatically closes on successful print.
* Conduct an early spike to print a test slip to verify printer drivers within Docker.
* Implement stock tracking: models and database operations to decrement inventory on order completion, with rollback on errors.
* Alert low stock levels with configurable thresholds and show warnings to staff.
* Provide CSV export of stock levels with high performance (under 2 seconds for up to 5,000 rows).

This epic ensures reliable receipt printing and accurate inventory management for cafe operations.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,purple,0|i0001b:,,,,,,,,,To Do,27/Jul/25 2:18 PM
Menu & Pricing / Sales Workflow,SCRUM-3,10005,Epic,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:17 PM,27/Jul/25 2:17 PM,,,,0,"This epic manages the menu, pricing, and sales workflow for the cafe.

* Implement CRUD operations for drinks, sizes and pricing with proper validations and tax calculations.
* Add search capability with fuzzy matching and ensure responses return within 200 ms.
* Build bulk import of menu items from CSV with error handling and user feedback.
* Implement the order entry workflow: cart management, subtotal and tax calculation, and Pay button disabled when the cart is empty.
* Enable receipt reprint within 5 minutes and provide discount functionality with staff ID and reason capture.

This epic ensures baristas can manage menus and process sales efficiently with accurate pricing and search.",,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,,,,,,,,,purple,0|i00013:,,,,,,,,,To Do,27/Jul/25 2:17 PM
Project Setup & DevOps,SCRUM-2,10004,Epic,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:13 PM,27/Jul/25 2:13 PM,,,,0,"h6. This epic covers the foundational technical setup and DevOps work needed to support development.

* Set up the repository with CI/CD pipeline. Connect to Jira, configure GitHub Actions to run tests, and enforce branch protection rules.
* Create a local development environment using Docker Compose that runs Tornado, Postgres and the React front‑end. Add health endpoints.
* Seed the staging database with 20+ menu items with realistic pricing.
* Document environment setup instructions and onboard developers.

This epic will produce a reliable pipeline and environment for the team to build and ship the CafePOS Async – Tornado & React Edition.",,,,,,,,,,,,,purple,0|i0000v:,,,,,,,,,To Do,27/Jul/25 2:13 PM
Project Management & Risk,SCRUM-1,10003,Epic,To Do,SCRUM,CafePOS,software,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,,Medium,,,,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,Codi de Faria,712020:51310d8f-fa52-467e-bfaa-99f85b527529,27/Jul/25 2:07 PM,27/Jul/25 2:07 PM,27/Jul/25 3:31 PM,,,0,Define vision & SMART objectives; analyze hardware and software requirements; create risk register with mitigations; draft product backlog and release plan; plan sprints and stand-ups; define testing strategies; schedule sprint reviews and retrospectives; prepare demo and report.,,,,,,,,,,,,,purple,0|i0000n:,,,,,,,,,To Do,27/Jul/25 2:07 PM
